,fucci_time,cell
864,0.758,357
865,0.759,631
866,0.76,329
867,0.76,161
868,0.7609999999999999,585
869,0.762,385
870,0.763,879
871,0.764,538
872,0.765,816
873,0.7659999999999999,742
874,0.767,828
875,0.768,485
876,0.769,916
877,0.77,711
878,0.7709999999999999,551
879,0.772,423
880,0.773,931
881,0.773,491
882,0.774,460
883,0.775,511
884,0.7759999999999999,800
885,0.777,777
886,0.778,723
887,0.779,730
888,0.78,488
889,0.78,660
890,0.7809999999999999,523
891,0.782,186
892,0.7829999999999999,847
893,0.784,902
894,0.785,768
895,0.7859999999999999,805
896,0.787,714
897,0.7879999999999999,803
898,0.789,427
899,0.79,764
900,0.7909999999999999,416
901,0.792,287
902,0.7929999999999999,752
903,0.794,88
904,0.794,727
905,0.795,403
906,0.7959999999999999,327
907,0.797,231
908,0.7979999999999999,621
909,0.799,883
910,0.8,522
911,0.8009999999999999,560
912,0.8009999999999999,286
913,0.802,227
914,0.8029999999999999,597
915,0.804,498
916,0.805,665
917,0.8059999999999999,577
918,0.807,184
919,0.8079999999999999,692
920,0.8079999999999999,116
921,0.809,437
922,0.81,191
923,0.8109999999999999,728
924,0.812,352
925,0.813,528
926,0.8140000000000001,310
927,0.815,255
928,0.815,129
929,0.816,410
930,0.8170000000000001,187
931,0.818,676
932,0.8190000000000001,745
933,0.82,759
934,0.821,16
935,0.821,404
936,0.8220000000000001,480
937,0.823,229
938,0.8240000000000001,302
939,0.825,420
940,0.826,637
941,0.8270000000000001,783
942,0.828,787
943,0.828,608
944,0.8290000000000001,766
945,0.83,773
946,0.831,100
947,0.8320000000000001,606
948,0.833,935
949,0.8340000000000001,806
950,0.835,627
951,0.835,280
952,0.836,409
953,0.8370000000000001,643
954,0.838,87
955,0.8390000000000001,110
956,0.84,583
957,0.841,276
958,0.8420000000000001,658
959,0.8420000000000001,670
960,0.843,38
961,0.8440000000000001,512
962,0.845,396
963,0.846,12
964,0.847,282
965,0.848,595
966,0.8490000000000001,709
967,0.8490000000000001,555
968,0.85,245
969,0.851,699
970,0.852,29
971,0.853,168
972,0.8540000000000001,432
973,0.855,532
974,0.856,298
975,0.856,148
976,0.857,434
977,0.858,324
978,0.8590000000000001,203
979,0.86,592
980,0.861,50
981,0.862,414
982,0.863,288
983,0.863,46
984,0.8640000000000001,312
985,0.865,464
986,0.866,406
987,0.867,272
988,0.868,444
989,0.8690000000000001,239
990,0.8690000000000001,504
991,0.87,299
992,0.871,440
993,0.872,569
994,0.873,430
995,0.8740000000000001,582
996,0.875,515
997,0.8759999999999999,481
998,0.8759999999999999,301
999,0.877,561
1000,0.878,147
1001,0.879,492
1002,0.88,238
1003,0.8809999999999999,387
1004,0.882,212
1005,0.883,683
