,well_plate,does_vary_cell,does_vary_nuc,does_vary_cyto,does_perc_vary_cell,does_perc_vary_nuc,does_perc_vary_cyto
619,C02_55185977,False,True,False,False,False,False
620,C02_55195978,False,False,False,False,False,False
621,C02_55205980,False,False,False,False,False,False
622,C02_55215982,False,False,False,False,False,False
623,C02_55225983,False,False,False,False,False,False
624,C02_55335984,False,False,False,False,False,False
625,C02_55355986,False,False,True,False,False,False
626,C02_55365987,False,False,False,False,False,False
627,C02_55375988,False,False,False,False,False,False
628,C02_55385989,False,False,False,False,False,False
629,C02_55395990,False,False,False,False,False,False
630,C02_55405991,True,False,True,False,False,False
631,C02_6717,False,False,False,False,True,False
632,C02_6718,False,False,False,False,False,False
633,C02_6719,False,False,False,False,False,False
634,C02_6720,False,False,False,False,False,False
635,C02_6721,False,True,False,False,False,False
636,C02_6722,False,False,False,False,False,False
637,C02_6724,False,False,False,False,False,False
638,C02_6725,True,True,True,False,False,False
639,C02_6735,True,False,True,False,False,False
640,C02_6736,False,False,False,False,False,False
641,C02_6745,False,False,False,False,False,False
642,C02_75836284,False,False,True,False,True,False
643,C03_55185977,True,True,False,False,False,False
644,C03_55205980,False,True,False,True,True,False
645,C03_55215982,False,False,False,False,True,False
646,C03_55245981,True,True,False,False,False,False
647,C03_55335984,False,False,False,False,False,False
648,C03_55345985,False,False,False,False,False,False
649,C03_55355986,False,False,False,False,False,False
650,C03_55365987,False,False,False,False,False,False
651,C03_55385989,False,False,False,False,False,False
652,C03_55395990,False,True,False,True,False,False
653,C03_55405991,True,False,False,False,False,False
654,C03_6717,False,False,False,False,False,False
655,C03_6718,False,True,False,False,True,False
656,C03_6719,False,False,False,False,True,False
657,C03_6720,False,False,False,False,False,False
658,C03_6721,False,False,False,False,False,False
659,C03_6722,False,False,False,False,False,False
660,C03_6724,False,False,False,False,True,False
661,C03_6725,False,True,False,False,False,False
662,C03_6731,False,False,False,False,False,False
663,C03_6734,False,False,False,False,False,False
664,C03_6735,True,True,True,False,False,False
665,C03_6736,False,False,False,False,False,False
666,C03_6745,False,False,False,False,False,False
667,C03_75836284,False,False,False,False,False,False
668,C03_75846286,False,False,False,False,False,False
669,C04_55185977,False,True,False,False,False,False
670,C04_55195978,False,False,True,False,False,False
671,C04_55215982,False,False,False,False,False,False
672,C04_55245981,True,True,True,False,False,False
673,C04_55335984,True,True,False,True,True,False
674,C04_55345985,False,False,False,False,False,False
675,C04_55355986,False,False,False,False,False,False
676,C04_55365987,False,False,False,False,False,False
677,C04_55375988,False,False,False,False,True,False
678,C04_55385989,True,False,True,False,False,False
679,C04_55395990,False,False,False,False,False,False
680,C04_55405991,False,False,True,True,True,True
681,C04_6717,False,False,False,False,False,False
682,C04_6718,True,False,True,False,False,False
683,C04_6719,False,True,False,False,False,False
684,C04_6720,False,False,False,False,False,False
685,C04_6721,True,False,True,True,True,True
686,C04_6722,False,False,False,False,False,False
687,C04_6724,True,True,False,False,False,False
688,C04_6725,False,False,False,False,True,False
689,C04_6731,False,False,False,False,False,False
690,C04_6734,False,False,False,False,False,False
691,C04_6736,True,False,True,False,False,False
692,C04_6745,False,False,False,False,False,False
693,C04_75836284,False,False,False,False,False,False
694,C04_75846286,False,False,False,False,False,False
695,C05_55185977,True,True,False,False,False,False
696,C05_55205980,True,True,False,False,False,False
697,C05_55215982,False,False,False,False,False,False
698,C05_55225983,False,False,False,False,False,False
699,C05_55235979,True,True,False,False,False,False
700,C05_55245981,False,False,False,False,False,False
701,C05_55335984,False,False,False,False,False,False
702,C05_55345985,False,False,False,False,False,False
703,C05_55355986,False,True,False,True,True,False
704,C05_55365987,False,False,False,False,False,False
705,C05_55385989,True,True,True,False,False,False
706,C05_55395990,False,False,False,False,False,False
707,C05_55405991,False,True,False,False,False,False
708,C05_6717,False,False,False,False,False,False
709,C05_6718,False,False,False,False,False,False
710,C05_6719,False,True,False,False,False,False
711,C05_6720,True,True,True,False,False,False
712,C05_6721,False,False,False,False,False,False
713,C05_6722,False,False,False,False,False,False
714,C05_6724,False,False,False,False,False,False
