protein_name,median_melting_point,transcript_reg,nontranscr_reg
ARHGAP21,60.67,False,False
ARHGAP22,46.7,False,False
ARHGAP23,50.74,False,False
ARHGAP25,46.63,False,False
ARHGAP26,48.425,False,False
ARHGAP27,51.55,False,False
ARHGAP29,49.57,False,False
ARHGAP32,59.57,False,False
ARHGAP35,49.075,False,False
ARHGAP39,63.28,False,False
ARHGAP4,45.67,False,False
ARHGAP5,47.76,False,False
ARHGAP6,46.06,False,False
ARHGDIA,51.84,False,False
ARHGDIB,52.1,False,False
ARHGEF1,47.22,False,False
ARHGEF10,49.72,False,False
ARHGEF10L,48.905,False,False
ARHGEF11,46.31,False,False
ARHGEF12,47.54,False,False
ARHGEF16,49.595,False,False
ARHGEF17,58.995000000000005,False,False
ARHGEF18,47.3,False,False
ARHGEF2,46.78,False,False
ARHGEF26,51.0,False,False
ARHGEF28,51.730000000000004,False,False
ARHGEF40,50.790000000000006,False,False
ARHGEF7,47.480000000000004,False,False
ARID1A,46.31,False,False
ARID1B,46.34,False,False
ARID2,48.64,False,False
ARID3A,44.26,False,False
ARID3B,43.57,False,False
ARID4A,44.37,False,False
ARID4B,45.875,False,False
ARIH1,55.25,False,False
ARIH2,51.64,False,False
ARL1,51.29,False,False
ARL10,54.95,False,False
ARL13B,52.96,False,False
ARL14EP,49.66,False,False
ARL15,50.85,False,False
ARL2,50.9,False,False
ARL2BP,48.75,False,False
ARL3,56.04,False,False
ARL4A,46.21,False,False
ARL5A,49.27,False,False
ARL5B,48.08,False,False
ARL6,48.02,False,False
ARL6IP4,54.64,False,False
ARL6IP5,59.05,False,False
ARL6IP6,51.36,False,False
ARL8A,57.43,False,False
ARL8B,66.02,False,False
ARMC1,49.91,False,False
ARMC10,48.9,False,False
ARMC5,47.81,False,False
ARMC6,45.23,False,False
ARMC7,50.175,False,False
ARMC8,48.8,False,False
ARMC9,46.08,False,False
ARMCX3,48.19,False,False
ARNT,49.25,False,False
ARNT2,52.635000000000005,False,False
ARPC1A,52.75,False,False
ARPC1B,51.76,False,False
ARPC2,55.08,False,False
ARPC3,54.24,False,False
ARPC4,53.92,False,False
ARPC5,54.47,False,False
ARPC5L,52.56,False,False
ARPP-19,51.01,False,False
ARPP19,68.69,False,False
ARRB1,53.34,False,False
ARRB2,49.27,False,False
ARRDC1,52.31,False,False
ARS2,47.12,False,False
ARSA,57.82,False,False
ARSB,67.38,False,False
ARSE,50.34,False,False
ARSG,57.9,False,False
ART3,60.46,False,False
ART5,59.43,False,False
ARV1,50.715,False,False
ARVCF,48.41,False,False
AS3MT,46.925,False,False
ASAH1,59.760000000000005,False,False
ASAP1,48.82,False,False
ASAP2,49.765,False,False
ASAP3,46.08,False,False
ASB1,50.665000000000006,False,False
ASB3,47.03,False,False
ASB6,50.385,False,False
ASB7,50.4,False,False
ASB9,50.05,False,False
ASCC1,50.15,False,False
ASCC2,49.92,False,False
ASCC3,49.155,False,False
ASF1A,50.32,False,False
ASF1B,49.32,False,False
ASGR1,52.11,False,False
ASGR2,50.87,False,False
ASH2L,48.6,False,True
ASL,52.985,False,False
ASMTL,49.8,False,False
ASNA1,52.02,False,False
ASNS,50.24,False,False
ASNSD1,45.77,False,False
ASPH,51.25,False,False
ASPHD1,47.95,False,False
ASPM,51.23,False,False
ASPSCR1,50.46,False,False
ASRGL1,54.08,False,False
ASS1,50.41,False,False
ASUN,50.41,False,False
ASXL1,57.75,False,False
ASXL2,47.16,False,False
ATAD1,48.52,False,False
ATAD2,49.010000000000005,True,False
ATAD3A,49.05,False,False
ATAD3B,49.165000000000006,False,False
ATAT1,49.45,False,False
ATE1,51.22,False,False
ATF1,56.075,False,False
ATF2,53.79,False,False
ATF6B,62.59,False,False
ATF7,50.29,False,False
ATF7IP,46.68,False,False
ATG10,59.61,False,False
ATG101,54.08,False,False
ATG12,52.685,False,False
ATG13,58.305,False,False
ATG14,57.44,False,False
ATG16L1,52.77,False,False
ATG2A,50.8,False,False
ATG2B,50.855000000000004,False,False
ATG3,52.55,False,False
ATG4A,49.205,False,False
ATG4B,47.66,False,False
ATG4C,50.95,False,False
ATG5,51.87,False,False
ATG7,49.82,False,False
ATG9A,50.41,False,False
ATHL1,56.65,False,False
ATIC,51.77,False,False
ATL2,50.56,False,False
ATL3,53.71,False,False
ATM,49.825,False,False
ATN1,62.91,False,False
ATOX1,61.315,False,False
ATP11A,52.42,False,False
ATP11B,52.045,False,False
ATP11C,52.39,False,False
ATP12A,54.974999999999994,False,False
ATP13A1,50.46,False,False
ATP13A2,56.224999999999994,False,False
ATP13A3,51.37,False,False
ATP1A1,53.35,False,False
ATP1A2,50.97,False,False
ATP1A3,55.87,False,False
ATP1B1,51.7,False,False
ATP1B2,52.57,False,False
ATP1B3,58.040000000000006,False,False
ATP2A2,50.15,False,False
ATP2A3,49.84,False,False
ATP2B1,51.14,False,False
ATP2B2,54.0,False,False
ATP2B3,52.91,False,False
ATP2B4,51.48,False,False
ATP2C1,51.47,False,False
ATP5A1,49.47,False,False
ATP5B,48.995000000000005,False,False
ATP5C1,51.515,False,False
ATP5D,50.62,False,False
ATP5E,48.89,False,False
ATP5EP2,52.545,False,False
ATP5F1,52.894999999999996,False,False
ATP5H,51.91,False,False
ATP5I,51.364999999999995,False,False
ATP5J,52.35,False,False
ATP5J2-PTCD1,49.94,False,False
ATP5L,51.665,False,False
ATP5O,52.075,False,False
ATP5S,51.05,False,False
ATP5SL,48.67,False,False
ATP6,52.629999999999995,False,False
ATP6AP1,50.5,False,False
ATP6AP2,50.825,False,False
ATP6V0A1,50.989999999999995,False,False
ATP6V0A2,51.495,False,False
ATP6V0C,53.805,False,False
ATP6V0D1,51.2,False,False
ATP6V1A,50.84,False,False
ATP6V1B2,51.65,False,False
ATP6V1C1,49.23,False,False
ATP6V1D,53.225,False,True
ATP6V1E1,50.65,False,False
ATP6V1F,51.92,False,False
ATP6V1G1,51.31,False,False
ATP6V1H,51.11,False,False
ATP7A,49.845,False,False
ATP7B,50.605,False,False
ATP8A1,61.98,False,False
ATP9A,52.11,False,False
ATP9B,51.52,False,False
ATPAF1,50.22,False,False
ATPAF2,55.58,False,False
ATPBD3,50.25,False,False
ATPBD4,51.83,False,False
ATR,48.65,False,False
ATRIP,52.44,False,False
ATRN,51.43,False,False
ATRX,44.23,False,False
ATXN1,49.24,False,True
ATXN10,53.035,False,False
ATXN1L,48.76,False,False
ATXN2,50.44,False,False
ATXN2L,51.480000000000004,False,False
ATXN3,49.26,False,False
ATXN7L3,56.625,False,False
ATXN7L3B,56.605000000000004,False,False
AUH,50.19,False,False
AUP1,49.57,False,False
AURKA,50.225,True,False
AURKAIP1,51.1,False,False
AURKB,47.69,True,False
AVEN,50.245000000000005,False,False
AVL9,51.42,False,False
AXIN1,49.26,False,False
AXL,59.99,False,False
AZGP1,62.38,False,False
AZI1,47.42,False,False
AZI2,47.18,False,False
AZIN1,68.6,False,False
Ataxin-10,48.55,False,False
B2M,50.435,False,False
B3GALNT2,51.120000000000005,False,False
B3GALT6,52.0,False,False
B3GALTL,52.13,False,False
B3GAT3,50.71,False,False
B3GNT1,51.144999999999996,False,False
B3GNT2,50.5,False,False
B3GNTL1,52.87,False,False
B4DEP8_HUMAN,52.004999999999995,False,False
B4DGN7_HUMAN,48.05,False,False
B4DIQ5_HUMAN,49.89,False,False
B4DJ98_HUMAN,49.84,False,False
B4DLE8_HUMAN,46.99,False,False
B4DMG7_HUMAN,52.21,False,False
B4E0S5_HUMAN,51.35,False,False
B4E171_HUMAN,48.42,False,False
B4GALNT1,50.11,False,False
B4GALT1,51.105000000000004,False,False
B4GALT2,50.68,False,False
B4GALT3,48.72,False,False
B4GALT4,50.0,False,False
B4GALT7,51.455,False,False
B9D1,53.27,False,False
BAAT,50.010000000000005,False,False
BABAM1,57.25,False,False
BACH1,49.665,False,False
BAD,51.07,False,False
BAG1,52.91,False,False
BAG2,52.36,False,False
BAG4,50.11,False,False
BAG5,47.63,False,False
BAG6,52.745,False,False
BAHD1,47.96,False,False
BAIAP2,49.28,False,False
BAIAP2L1,52.47,False,False
BAK1,51.185,False,False
BANF1,56.06,False,False
BANP,51.42,False,False
BAP1,47.535,False,False
BARD1,45.88,False,False
BAT1,50.47,False,False
BAT2,50.485,False,False
BAT2D1,51.52,False,False
BAT2L,50.85,False,False
BAT3,49.08,False,False
BAT5,49.44,False,False
BAX,52.8,False,False
BAZ1A,43.43,False,False
BAZ1B,47.88,False,False
BBC3,51.379999999999995,False,False
BBS7,47.974999999999994,False,False
BBX,63.36,False,False
BCAM,53.39,False,False
BCAP29,50.5,False,False
BCAP31,53.82,False,False
BCAR1,48.36,False,False
BCAR3,50.945,False,False
BCAS2,53.45,False,False
BCAS3,52.34,False,False
BCAS4,52.105000000000004,False,False
BCAT1,59.75,False,False
BCAT2,57.345,False,False
BCCIP,53.57,False,False
BCDIN3D,54.989999999999995,False,False
BCKDHA,50.31,False,False
BCKDHB,50.19,False,True
BCKDK,49.28,False,False
BCL10,47.53,False,False
BCL2L1,59.13,False,False
