,well_plate,variability_compartment_p,variability_compartment_adj_p
1932,C03_55385989,8.056417243391963e-10,2.1035305422496417e-06
1933,C10_55225983,8.542836161723405e-10,2.230534521825981e-06
1934,G05_55385989,1.0503978180735175e-09,2.742588702989954e-06
1935,B05_55195978,0.1833063232519883,478.6128100109415
1936,C02_55405991,1.1079652952530948e-09,2.8928973859058306e-06
1937,D03_6735,1.2710228886926434e-09,3.318640762376492e-06
1938,D07_55345985,1.3315193877788926e-09,3.4765971214906886e-06
1939,G07_6745,1.3330398512764416e-09,3.480567051682789e-06
1940,A01_55335984,5.657101753390177e-10,1.4770692678101752e-06
1941,A10_55405991,1.3622270696242842e-09,3.556774878789006e-06
1942,H09_6718,0.00038825952734967154,1.0137456259099924
1943,C04_55185977,0.09501957460689554,248.09610929860426
1944,C09_55225983,1.5286627419548985e-09,3.99133841924424e-06
1945,E01_6718,1.5348399428136588e-09,4.0074670906864635e-06
1946,D08_6724,1.5413650122463563e-09,4.024504046975236e-06
1947,G01_55395990,4.799662183214212e-09,1.2531917960372308e-05
1948,D09_55335984,1.7174444029056086e-09,4.484247335986544e-06
1949,F06_6745,0.24145735209733277,630.4451463261358
1950,G07_6717,2.0380318406945225e-09,5.321301136053399e-06
1951,C03_55245981,2.1590019249236073e-09,5.637154025975538e-06
1952,E12_6731,2.1649628671144943e-09,5.652718046035944e-06
1953,A01_55375988,2.2447261335073164e-09,5.860979934587603e-06
1954,D11_6725,8.941810968207668e-07,0.002334706843799022
1955,C03_55335984,2.7567136517424494e-09,7.197779344699535e-06
1956,A11_6735,2.885863684045356e-09,7.534990079042424e-06
1957,E10_55205980,3.1940389950112232e-09,8.339635815974304e-06
1958,C04_55195978,3.2211304593400257e-09,8.410371629336807e-06
1959,F08_6722,3.2180427731910815e-08,8.402309680801914e-05
1960,A11_6720,3.3567175128020345e-09,8.764389425926111e-06
1961,A05_55365987,3.604916390018559e-09,9.412436694338457e-06
1962,C10_55375988,3.755386947110441e-09,9.805315318905362e-06
1963,B11_75836284,0.011477657384800355,29.968163431713727
1964,C02_55205980,4.5172825236379755e-09,1.1794624669218754e-05
1965,H07_6736,4.733015119353499e-09,1.2357902476631986e-05
1966,G01_55235979,4.821943265725908e-09,1.2590093866810346e-05
1967,B03_55385989,5.327885790690919e-12,1.391110979949399e-08
1968,C11_6725,0.0007440406635823786,1.9426901726135903
1969,E05_6721,5.164554827621812e-09,1.348465265492055e-05
1970,A10_6724,5.682823512228466e-09,1.4837852190428525e-05
1971,H01_55195978,5.722711038232672e-09,1.4941998520825506e-05
1972,H05_6745,0.0028174873246077942,7.356459404550951
1973,E09_55185977,6.4298123104127605e-09,1.678823994248772e-05
1974,H06_55235979,6.524735415357696e-09,1.7036084169498944e-05
1975,F11_6725,7.04000292126263e-09,1.8381447627416727e-05
1976,F12_6719,7.752968578218978e-09,2.024300095772975e-05
1977,E06_6736,7.970028920768851e-09,2.080974551212747e-05
1978,F12_55375988,8.028468646795078e-09,2.0962331636781947e-05
1979,G11_6724,8.099876549404876e-09,2.114877767049613e-05
1980,G10_55365987,8.584631748695473e-09,2.241447349584388e-05
1981,G12_6735,1.9436731812722985e-07,0.0005074930676301972
1982,E02_55185977,9.512012079549706e-09,2.4835863539704284e-05
1983,G01_6745,9.87969296430236e-09,2.5795878329793462e-05
1984,F05_55195978,9.958875714269713e-09,2.600262448995822e-05
1985,B04_55355986,1.5216552166364505,3973.0417706377725
1986,C08_55185977,1.0031473001962604e-08,2.619217600812436e-05
1987,F06_6736,1.0329566990138685e-08,2.6970499411252107e-05
1988,A03_55335984,1.0628887628103466e-08,2.7752025596978148e-05
1989,C04_55355986,1.1075703573384186e-08,2.891866203010611e-05
1990,G09_55355986,1.145740939802396e-08,2.9915295938240558e-05
1991,H08_6735,1.1814642582031269e-08,3.084803178168364e-05
1992,A09_6725,1.261342551401132e-09,3.2933654017083557e-06
1993,B12_55195978,3.3176698371307384e-17,8.662435944748357e-14
1994,D09_75836284,1.2698168956709618e-08,3.315491914596881e-05
1995,A03_6717,1.2865092858004081e-08,3.359075745224866e-05
1996,G12_6736,1.3541476240813062e-08,3.53567944647629e-05
1997,D04_75836284,1.4336745695594323e-08,3.7433243011196776e-05
1998,A03_6731,1.4731247759677588e-08,3.8463287900518185e-05
1999,D08_6734,5.6316269006452465e-11,1.4704177837584738e-07
2000,H01_55355986,1.5416312082736707e-08,4.025199084802554e-05
2001,B08_6718,1.6503918247214378e-08,4.3091730543476744e-05
2002,D11_6735,2.0526843952078784e-05,0.05359558955887771
2003,B06_55335984,1.362452144277792,3557.3625487093145
2004,G10_55375988,0.0005368949272537044,1.4018326550594222
2005,A05_55245981,1.8623964755221207e-08,4.862717197588257e-05
2006,C09_6720,1.9047510432265972e-08,4.9733049738646456e-05
2007,F06_6717,7.064475427903669e-05,0.18445345342256478
2008,A08_6724,1.9335715277953108e-08,5.048555259073556e-05
2009,F11_6734,1.9749709269728343e-08,5.15664909032607e-05
2010,C12_55365987,0.00099389713807324,2.5950654275092297
2011,G08_55185977,2.0531529311525692e-08,5.3607823032393584e-05
2012,D11_6736,2.122011056341356e-08,5.5405708681072805e-05
2013,A04_55195978,0.0003843632679505562,1.0035724926189022
2014,G02_55195978,0.29623089912633643,773.4588776188644
2015,C03_55205980,2.2854375519357978e-08,5.967277448104368e-05
2016,B02_55385989,2.2881524139833013e-08,5.9743659529104e-05
2017,F01_75836284,2.3243876964480964e-08,6.06897627542598e-05
2018,A01_6731,2.5736682171398227e-08,6.719847714952077e-05
2019,H04_75836284,1.9292304252994692e-08,5.037220640456914e-05
2020,G02_6745,2.6691342255022874e-08,6.969109462786473e-05
2021,E11_55205980,5.848717486937162e-07,0.001527100135839293
2022,C06_55185977,7.275480821516556e-08,0.00018996280424979727
2023,H11_55385989,0.26573201633311166,693.8262946457545
2024,B10_6736,2.153957540356604e-08,5.6239831378710926e-05
2025,B08_55235979,0.0049366563375124635,12.889609697245042
2026,F03_6717,6.6975027259122635e-12,1.748717961735692e-08
2027,G07_55245981,3.727282141947012e-08,9.731933672623649e-05
2028,B05_75846286,0.9675253731858067,2526.2087493881413
2029,B01_55245981,1.6580714701389005e-16,4.329224608532669e-13
2030,D07_55195978,4.1993678366633707e-08,0.00010964549421528061
2031,F10_55365987,4.3784731046188596e-08,0.00011432193276159842
2032,A09_55205980,1.565274020344969,4086.930467120714
2033,E02_55355986,4.4328484981191194e-08,0.00011574167428589021
2034,B08_6720,4.464293851124493e-08,0.00011656271245286051
2035,C05_55345985,4.677261411119321e-08,0.00012212329544432547
2036,A12_6731,4.72426873498096e-08,0.00012335065667035288
2037,E10_6735,4.975262710897227e-08,0.0001299041093815266
2038,C04_55375988,4.991480238116072e-08,0.00013032754901721064
2039,D02_55405991,1.6337071142783093e-12,4.265609275380666e-09
2040,C08_55225983,5.4787937416270746e-08,0.0001430513045938829
2041,F11_6721,0.12672832578579665,330.88765862671505
2042,D01_55395990,6.058401580521788e-08,0.0001581848652674239
2043,H11_6724,1.457766944580929e-08,3.8062294923008055e-05
2044,D01_75836284,0.004260169511473644,11.123302594457686
2045,D11_55345985,6.822080814054535e-08,0.00017812453005496391
2046,G04_6719,3.603022829607159e-06,0.009407492608104293
2047,G03_55335984,7.063340542499326e-08,0.0001844238215646574
2048,E02_6717,7.142605294752701e-08,0.00018649342424599302
2049,G01_6736,7.653614578545682e-08,0.00019983587664582775
2050,A05_6718,7.666652494253857e-08,0.00020017629662496823
2051,D11_55375988,8.314022194987387e-08,0.00021707911951112069
2052,D08_6735,8.398582035880906e-08,0.00021928697695685047
2053,D10_55205980,0.0017687218558645169,4.618132765662254
2054,E06_75846286,8.664109749129615e-08,0.00022621990554977424
2055,B05_75836284,0.035022300163064804,91.4432257257622
2056,H11_6721,9.305751285525694e-08,0.00024297316606507587
2057,B07_55195978,9.62163314387718e-08,0.0002512208413866332
2058,G03_6719,9.798336761809898e-08,0.0002558345728508564
2059,G05_55345985,0.6073887123923604,1585.8919280564528
2060,B11_6724,0.14888100242534008,388.72829733256293
2061,G03_55185977,1.3404127538567712,3499.8177003200294
2062,B05_6735,1.0556640239772706e-07,0.00027563387666046537
2063,H04_55365987,1.7185146361178428e-19,4.487041714903688e-16
2064,E12_6725,1.1954857824324654e-07,0.0003121413377931167
2065,C05_6745,1.2569046678465692e-07,0.0003281778087747392
2066,F03_6731,1.3723697918515405e-07,0.0003583257526524372
2067,B05_55205980,0.0010121468287819834,2.6427153699497588
2068,E05_75846286,1.4077721232352023e-07,0.00036756930137671134
2069,E05_55185977,1.5702361093974107e-08,4.099886481636639e-05
2070,E11_6724,1.7572242315689263e-11,4.5881124686264663e-08
2071,E08_6719,1.837987465629111e-07,0.00047989852727576085
2072,A10_6719,1.3929818290864275e-06,0.003637075555744662
2073,G02_55185977,2.0928825795662434e-07,0.0005464516415247462
2074,E09_6718,2.0972657115389298e-07,0.0005475960772828146
2075,F07_6736,2.1065949688815005e-07,0.0005500319463749598
2076,A06_6718,2.15192793553624e-07,0.0005618683839685122
2077,D06_55365987,6.837690065616297e-05,0.17853208761324152
2078,F04_6745,2.3693503662770334e-07,0.0006186373806349334
2079,G11_55365987,2.4090264532272094e-07,0.0006289968069376244
2080,F04_55375988,1.041632585674695,2719.702681196629
2081,A01_55385989,3.016366863144436e-07,0.0007875733879670122
2082,C09_6736,0.00011190162666821169,0.2921751472307007
2083,D12_75836284,2.3391646695461502e-08,6.107558952184998e-05
2084,B10_6720,3.891090539886277e-07,0.001015963739964307
2085,E11_6720,0.0009171582799875074,2.394700269047382
2086,G06_55195978,4.2425374812306287e-07,0.0011077265363493172
2087,F01_55355986,4.3179393137932263e-07,0.0011274139548314115
2088,A06_55195978,4.6981950039363505e-07,0.0012266987155277811
2089,C09_6735,4.987874418074048e-07,0.001302334010559134
2090,H03_55215982,4.995101948376073e-07,0.0013042211187209928
2091,G08_6720,5.175129304691021e-07,0.0013512262614548255
2092,E03_55385989,0.08517217919047775,222.38455986633738
2093,E12_55345985,5.805804787806853e-07,0.0015158956300963694
2094,D05_55385989,7.168870509878804e-08,0.00018717920901293556
2095,A05_55235979,0.8534780291163491,2228.4311340227873
