well_plate,ENSG,var_comp,perc_var_comp,pass_percvar,wp_comp_kruskal_gaussccd_adj,pass_gauss,ccd_comp,nonccd_comp,wp_prev_ccd,gene_name
C01_55395990,ENSG00000168505,0.005780434,0.353259181,TRUE,3.99E-06,TRUE,TRUE,FALSE,TRUE,GBX2
C01_55405991,ENSG00000100097,0.002829972,0.118674422,FALSE,0.877394767,FALSE,FALSE,TRUE,FALSE,LGALS1
C01_6718,ENSG00000131747,0.021917666,0.286082039,TRUE,0.000168273,TRUE,TRUE,FALSE,FALSE,TOP2A
C01_6720,ENSG00000122882,0.001768523,0.192471048,TRUE,0.128181818,FALSE,FALSE,TRUE,FALSE,ECD
C01_75836284,ENSG00000129351,0.002200323,0.123542406,FALSE,0.018575359,TRUE,FALSE,TRUE,FALSE,ILF3
C02_55185977,ENSG00000129460,0.000643352,0.165874817,TRUE,0.090516566,FALSE,FALSE,TRUE,FALSE,NGDN
C02_55195978,ENSG00000131591,0.000738333,0.11523913,FALSE,0.659162777,FALSE,FALSE,TRUE,FALSE,C1orf159
C02_55205980,ENSG00000117054,6.67E-05,0.111515745,FALSE,0.061689719,FALSE,FALSE,TRUE,FALSE,ACADM
C02_55215982,ENSG00000077458,0.000764269,0.121300921,FALSE,0.067605804,FALSE,FALSE,TRUE,FALSE,FAM76B
C02_55225983,ENSG00000119541,8.59E-05,0.104138845,FALSE,0.79825906,FALSE,FALSE,TRUE,FALSE,VPS4B
C02_55335984,ENSG00000185477,0.003654029,0.099287699,FALSE,0.321413385,FALSE,FALSE,TRUE,FALSE,GPRIN3
C02_55355986,ENSG00000154309,0.000206898,0.102834566,FALSE,0.764419017,FALSE,FALSE,TRUE,FALSE,DISP1
C02_55365987,ENSG00000185745,1.30E-05,0.12727443,FALSE,0.076730284,FALSE,FALSE,TRUE,FALSE,IFIT1
C02_55375988,ENSG00000149806,0.000378157,0.142083006,TRUE,0.372242647,FALSE,FALSE,TRUE,FALSE,FAU
C02_55385989,ENSG00000164853,5.26E-05,0.11631876,FALSE,0.05274443,FALSE,FALSE,TRUE,FALSE,UNCX
C02_55405991,ENSG00000146701,0.000555588,0.116864623,FALSE,0.199062526,FALSE,FALSE,TRUE,FALSE,MDH2
C02_6720,ENSG00000147874,0.000169114,0.191798437,TRUE,0.03495633,TRUE,TRUE,FALSE,FALSE,HAUS6
C02_6724,ENSG00000163002,0.006189549,0.133436107,TRUE,0.47521059,FALSE,FALSE,TRUE,FALSE,NUP35
C02_75836284,ENSG00000122952,6.45E-05,0.17358123,TRUE,0.078672531,FALSE,FALSE,TRUE,FALSE,ZWINT
C03_55185977,ENSG00000162772,0.000526936,0.172932164,TRUE,0.018516941,TRUE,TRUE,FALSE,TRUE,ATF3
C03_55215982,ENSG00000090316,0.000789633,0.324712953,TRUE,7.33E-08,TRUE,TRUE,FALSE,TRUE,MAEA
C03_55225983,ENSG00000105819,9.04E-05,0.093948243,FALSE,0.120630212,FALSE,FALSE,TRUE,FALSE,PMPCB
C03_55245981,ENSG00000106636,0.000536278,0.064196749,FALSE,0.568059843,FALSE,FALSE,TRUE,FALSE,YKT6
