Protein ID	Melting point [°C]	Protein stability class	Quantile-normalized melting point [°C]	AUC	Curve fit converged	R2 of curve fit
TFB2M	48.6	medium	48.19	0.4	TRUE	1
TFCP2	46.25	non-stable	45.91	0.33	TRUE	1
TFDP1	45.79	non-stable	45.39	0.32	TRUE	0.99
TFG		non-melter		0.79	TRUE	0.22
TFIP11	44.16	non-stable	43.9	0.27	TRUE	0.99
TFPI	50.43	stable	50.24	0.68	TRUE	0.87
TFR2	51.16	medium	51.21	0.59	TRUE	0.97
TFRC		non-melter		0.71	TRUE	0.57
TGFBI	50.91	medium	50.85	0.53	TRUE	1
TGFBR2	47.91	medium	47.46	0.41	TRUE	0.99
TGFBR3	50.16	medium	49.9	0.5	TRUE	0.99
TGFBRAP1	47.14	medium	46.7	0.36	TRUE	1
TGM2	50.76	medium	50.66	0.48	TRUE	1
TGM3	49.62	medium	49.29	0.57	TRUE	0.7
TGOLN2		non-melter		0.83	TRUE	0.06
TH1L	44.45	non-stable	44.19	0.26	TRUE	1
THADA	50.14	medium	49.86	0.46	TRUE	0.99
THAP11	44.51	non-stable	44.25	0.3	TRUE	0.99
THBS1	51.3	medium	51.38	0.55	TRUE	0.99
THEM2		non-melter		0.71	TRUE	0.7
THEM4	52.63	medium	53.31	0.58	TRUE	0.99
THG1L	51.15	medium	51.19	0.52	TRUE	0.99
THNSL1	50.52	medium	50.34	0.47	TRUE	0.99
THOC1	45.79	non-stable	45.39	0.32	TRUE	0.99
THOC2	45.94	non-stable	45.55	0.32	TRUE	0.98
THOC3	48.77	medium	48.36	0.41	TRUE	1
THOC4	50.35	stable	50.14	0.66	TRUE	0.83
THOC5	49.7	medium	49.36	0.45	TRUE	0.95
THOC6	50.03	medium	49.74	0.45	TRUE	0.95
THOC7	48.84	medium	48.45	0.42	TRUE	0.96
THOP1	51.63	medium	51.86	0.58	TRUE	0.97
THRAP3	48.35	medium	47.93	0.49	TRUE	0.9
THTPA	49.29	medium	48.97	0.46	TRUE	0.98
THUMPD1	52.71	medium	53.45	0.55	TRUE	1
THUMPD2	52.97	medium	54.03	0.65	TRUE	0.77
THUMPD3	51.73	medium	51.99	0.5	TRUE	1
THYN1	49.84	medium	49.52	0.43	TRUE	1
TIA1	51.83	medium	52.15	0.53	TRUE	1
TIAL1	50.5	medium	50.32	0.47	TRUE	1
TIMELESS	44.24	non-stable	43.97	0.27	TRUE	1
TIMM10		non-melter		0.76	TRUE	0.44
TIMM13	51.71	medium	51.97	0.6	TRUE	0.96
TIMM17B	51.48	stable	51.64	0.66	TRUE	0.81
TIMM22		non-melter		0.8	TRUE	0.14
TIMM23B	50.72	medium	50.59	0.62	TRUE	0.91
TIMM44	49.56	medium	49.23	0.43	TRUE	1
TIMM50	50.25	medium	50.01	0.46	TRUE	1
TIMM8A	51.47	stable	51.62	0.67	TRUE	0.91
TIMM8B	51.47	medium	51.63	0.63	TRUE	0.97
TIMM9	52.25	stable	52.77	0.7	TRUE	0.91
TIPIN	47.14	medium	46.69	0.44	TRUE	0.94
TIPRL	49.93	medium	49.61	0.46	TRUE	1
TJAP1	48.59	medium	48.19	0.49	TRUE	0.94
TJP1	49.97	medium	49.66	0.5	TRUE	0.95
TJP2	49.49	medium	49.16	0.45	TRUE	0.97
TK1	52.53	stable	53.14	0.69	TRUE	0.61
TK2	50.98	medium	50.96	0.58	TRUE	0.99
TKT	50.37	stable	50.16	0.67	TRUE	0.88
TLCD1	50.52	medium	50.34	0.53	TRUE	0.99
TLE1	48.85	medium	48.45	0.44	TRUE	0.99
